month,sell_date,expiry,side,spot,strike,settle,eth_move,iv,premium_pct,size_eth,notional,size_x,premium,payoff,pnl,cum_pnl,deficit_after,worst_intramonth_loss
2025-02,2025-01-31,2025-02-28,CALL,3251.2400,3300,2102.3600,-0.3534,0.6214,0.0619,3.0757,10000.0000,1.0000,609.3163,0.0000,609.3163,8088.1893,0.0000,354.8546
2025-03,2025-02-28,2025-03-28,CALL,2102.3600,2100,1910.3100,-0.0913,0.7227,0.0802,4.7566,10000.0000,1.0000,791.3157,0.0000,791.3157,8879.5050,0.0000,1489.5085
2025-04,2025-03-28,2025-04-25,CALL,1910.3100,1900,1773.7000,-0.0715,0.6271,0.0717,5.2348,10000.0000,1.0000,707.3210,0.0000,707.3210,9586.8260,0.0000,118.3278
2025-05,2025-04-25,2025-05-30,CALL,1773.7000,1800,2626.7200,0.4809,0.6709,0.0761,5.6379,10000.0000,1.0000,750.8481,4663.2125,-3912.3644,5674.4616,3912.3644,4830.4227
2025-06,2025-05-30,2025-06-27,CALL,2626.7200,2600,2441.9800,-0.0703,0.6935,0.0813,22.3770,58778.0740,5.8778,4714.4388,0.0000,4714.4388,10388.9004,0.0000,3027.3217
2025-07,2025-06-27,2025-07-25,CALL,2441.9800,2400,3619.6600,0.4823,0.6425,0.0792,4.0950,10000.0000,1.0000,781.3130,4996.7770,-4215.4640,6173.4364,4215.4640,5206.4510
2025-08,2025-07-25,2025-08-29,CALL,3619.6600,3600,4389.2600,0.2126,0.6623,0.0842,16.7835,60750.7383,6.0751,5046.0852,13257.6334,-8211.5482,-2038.1118,12427.0122,17730.0740
2025-09,2025-08-29,2025-09-26,CALL,4389.2600,4400,3920.8700,-0.1067,0.6937,0.0754,40.3528,177118.7256,17.7119,13170.6160,0.0000,13170.6160,11132.5042,0.0000,5048.0771
2025-10,2025-09-26,2025-10-31,CALL,3920.8700,3900,3829.7900,-0.0232,0.6162,0.0785,2.5505,10000.0000,1.0000,774.1198,0.0000,774.1198,11906.6240,0.0000,1510.1875
2025-11,2025-10-31,2025-11-28,CALL,3829.7900,3800,3009.8600,-0.2141,0.6599,0.0765,2.6111,10000.0000,1.0000,754.2149,0.0000,754.2149,12660.8389,0.0000,140.6083
2025-12,2025-11-28,2025-12-26,CALL,3009.8600,3000,2965.1600,-0.0149,0.6809,0.0767,3.3224,10000.0000,1.0000,755.8441,0.0000,755.8441,13416.6830,0.0000,873.4777
2026-01,2025-12-26,2026-01-30,CALL,2965.1600,3000,2731.3100,-0.0789,0.6078,0.0697,3.3725,10000.0000,1.0000,686.8871,0.0000,686.8871,14103.5701,0.0000,775.8007
2026-02,2026-01-30,2026-02-27,CALL,2731.3100,2700,2028.8000,-0.2572,0.5669,0.0681,3.6612,10000.0000,1.0000,671.3451,0.0000,671.3451,14774.9152,0.0000,106.5189
2026-03,2026-02-27,2026-03-27,CALL,2028.8000,2050,2066.8900,0.0188,0.6597,0.0681,4.9290,10000.0000,1.0000,670.9071,84.7793,586.1277,15361.0429,0.0000,1067.7986
2026-04,2026-03-27,2026-04-24,CALL,2066.8900,2050,2313.8600,0.1195,0.7018,0.0813,4.8382,10000.0000,1.0000,801.4886,1278.2832,-476.7946,14884.2483,476.7946,1217.3511
2026-05,2026-04-24,2026-05-29,CALL,2313.8600,2300,2004.0300,-0.1339,0.5980,0.0766,7.0502,16313.2621,1.6313,1232.0217,0.0000,1232.0217,16116.2700,0.0000,370.1458
2026-06,2026-05-29,2026-06-26,CALL,2004.0300,2000,1579.7000,-0.2117,0.4569,0.0514,4.9899,10000.0000,1.0000,505.9304,0.0000,505.9304,16622.2004,0.0000,154.1433
2026-07,2026-06-26,2026-07-31,CALL,1579.7000,1600,1886.9700,0.1945,0.5806,0.0658,6.3303,10000.0000,1.0000,648.8694,1818.4025,-1169.5331,15452.6673,1169.5331,1756.6562
2026-08,2026-07-31,2026-08-28,CALL,1886.9700,1900,2496.7500,0.3232,0.4736,0.0491,18.1311,34212.9211,3.4213,1652.5533,10826.5493,-9173.9960,6278.6713,10343.5291,10442.7315
2026-09,2026-08-28,2026-09-25,CALL,2496.7500,2500,2671.4100,0.0700,0.5161,0.0564,78.6537,196378.5279,19.6379,10898.5034,13513.5414,-2615.0380,3663.6332,12958.5672,13401.6790
