month,sell_date,expiry,side,spot,strike,settle,eth_move,iv,premium_pct,size_eth,notional,size_x,premium,payoff,pnl,cum_pnl,deficit_after,worst_intramonth_loss
2023-01,2022-12-30,2023-01-27,CALL,1187.8100,1200,1582.8900,0.3326,0.5629,0.0575,8.4189,10000.0000,1.0000,565.8129,3225.4943,-2659.6813,-2659.6813,2659.6813,3480.3021
2023-02,2023-01-27,2023-02-24,CALL,1582.8900,1600,1652.6300,0.0441,0.5888,0.0601,34.7125,54946.1286,5.4946,3251.4300,1835.5259,1415.9041,-1243.7772,1243.7772,2965.6531
2023-03,2023-02-24,2023-03-31,CALL,1652.6300,1700,1789.1800,0.0826,0.5475,0.0551,19.9141,32910.6399,3.2911,1786.6591,1781.2840,5.3751,-1238.4021,1238.4021,1947.5875
2023-04,2023-03-31,2023-04-28,CALL,1789.1800,1800,1919.5000,0.0728,0.5913,0.0625,16.8336,30118.3621,3.0118,1853.9602,2016.4635,-162.5033,-1400.9054,1400.9054,4105.9872
2023-05,2023-04-28,2023-05-26,CALL,1919.5000,1900,1813.7400,-0.0551,0.4894,0.0590,17.7720,34113.3145,3.4113,1981.8729,0.0000,1981.8729,580.9676,0.0000,1081.7422
2023-06,2023-05-26,2023-06-30,CALL,1813.7400,1800,1883.9000,0.0387,0.4147,0.0549,5.5135,10000.0000,1.0000,540.2394,464.1381,76.1013,657.0688,0.0000,485.5833
2023-07,2023-06-30,2023-07-28,CALL,1883.9000,1900,1860.7100,-0.0123,0.3844,0.0385,5.3081,10000.0000,1.0000,378.1359,0.0000,378.1359,1035.2047,0.0000,458.7375
2023-08,2023-07-28,2023-08-25,CALL,1860.7100,1850,1650.6000,-0.1129,0.3192,0.0381,5.3743,10000.0000,1.0000,374.2875,0.0000,374.2875,1409.4922,0.0000,105.8206
2023-09,2023-08-25,2023-09-29,CALL,1650.6000,1650,1679.5600,0.0175,0.3193,0.0396,6.0584,10000.0000,1.0000,389.0206,180.6127,208.4079,1617.9001,0.0000,429.6230
2023-10,2023-09-29,2023-10-27,CALL,1679.5600,1700,1783.3100,0.0618,0.3217,0.0300,5.9539,10000.0000,1.0000,293.9457,497.6154,-203.6697,1414.2304,203.6697,706.3835
2023-11,2023-10-27,2023-11-24,CALL,1783.3100,1800,2073.5900,0.1628,0.4326,0.0435,8.2810,14767.5110,1.4768,630.8732,2268.1624,-1637.2892,-223.0588,1840.9589,2256.4191
2023-12,2023-11-24,2023-12-29,CALL,2073.5900,2100,2344.9000,0.1308,0.4967,0.0555,21.0585,43666.7658,4.3667,2387.7768,5164.6420,-2776.8653,-2999.9240,4617.8242,5017.4800
2024-01,2023-12-29,2024-01-26,CALL,2344.9000,2350,2201.4400,-0.0612,0.6229,0.0677,33.7664,79178.8102,7.9179,5285.3442,0.0000,5285.3442,2285.4202,0.0000,7758.1738
2024-02,2024-01-26,2024-02-23,CALL,2201.4400,2200,2933.2600,0.3324,0.4098,0.0456,4.5425,10000.0000,1.0000,448.0841,3332.8185,-2884.7343,-599.3142,2884.7343,3358.0609
2024-03,2024-02-23,2024-03-29,CALL,2933.2600,2900,3535.7200,0.2054,0.5539,0.0738,16.9309,49662.8388,4.9663,3612.0485,10772.3144,-7160.2659,-7759.5801,10045.0003,16785.3859
2024-04,2024-03-29,2024-04-26,CALL,3535.7200,3550,3137.4600,-0.1126,0.7352,0.0793,39.1753,138512.7173,13.8513,10826.6350,0.0000,10826.6350,3067.0549,0.0000,3341.6022
2024-05,2024-04-26,2024-05-31,CALL,3137.4600,3100,3731.9700,0.1895,0.6048,0.0803,3.1873,10000.0000,1.0000,791.8588,2016.0569,-1224.1981,1842.8568,1224.1981,2014.7352
2024-06,2024-05-31,2024-06-28,CALL,3731.9700,3700,3433.0100,-0.0801,0.6224,0.0728,7.2525,27065.9369,2.7066,1941.5324,0.0000,1941.5324,3784.3892,0.0000,721.4191
2024-07,2024-06-28,2024-07-26,CALL,3433.0100,3400,3256.9800,-0.0513,0.5765,0.0682,2.9129,10000.0000,1.0000,672.6231,0.0000,672.6231,4457.0122,0.0000,137.8606
2024-08,2024-07-26,2024-08-30,CALL,3256.9800,3300,2523.9200,-0.2251,0.6313,0.0720,3.0703,10000.0000,1.0000,709.3141,0.0000,709.3141,5166.3263,0.0000,200.7405
2024-09,2024-08-30,2024-09-27,CALL,2523.9200,2500,2660.1900,0.0540,0.5991,0.0707,3.9621,10000.0000,1.0000,696.4856,636.2683,60.2173,5226.5436,0.0000,140.9763
2024-10,2024-09-27,2024-10-25,CALL,2660.1900,2700,2474.2900,-0.0699,0.5614,0.0552,3.7591,10000.0000,1.0000,543.7688,0.0000,543.7688,5770.3124,0.0000,173.3580
2024-11,2024-10-25,2024-11-29,CALL,2474.2900,2500,3548.8700,0.4343,0.5960,0.0688,4.0416,10000.0000,1.0000,678.3766,4241.2261,-3562.8495,2207.4629,3562.8495,4135.7317
2024-12,2024-11-29,2024-12-27,CALL,3548.8700,3500,3334.3200,-0.0605,0.6788,0.0815,15.3123,54341.4737,5.4341,4366.3522,0.0000,4366.3522,6573.8152,0.0000,5667.9367
2025-01,2024-12-27,2025-01-31,CALL,3334.3200,3300,3251.2400,-0.0249,0.7050,0.0917,2.9991,10000.0000,1.0000,905.0578,0.0000,905.0578,7478.8730,0.0000,707.9415
