month,iv,put_pct,call_pct,put_mark_pct,call_mark_pct,dvol_bs_pct
2023-01,0.5629,0.0677,0.0575,0.0702,,0.0763
2023-02,0.5888,0.0709,0.0601,0.0699,0.0622,0.0755
2023-03,0.5475,0.0838,0.0551,0.0826,0.0564,0.0886
2023-04,0.5913,0.0685,0.0625,0.0649,0.0649,0.0707
2023-05,0.4894,0.0488,0.0590,0.0492,0.0583,0.0526
2023-06,0.4147,0.0473,0.0549,0.0471,0.0555,0.0519
2023-07,0.3844,0.0470,0.0385,0.0453,0.0402,0.0524
2023-08,0.3192,0.0324,0.0381,0.0303,0.0410,0.0360
2023-09,0.3193,0.0392,0.0396,0.0366,0.0428,0.0475
2023-10,0.3217,0.0422,0.0300,0.0403,0.0303,0.0485
2023-11,0.4326,0.0528,0.0435,0.0528,0.0449,0.0571
2023-12,0.4967,0.0683,0.0555,0.0630,,0.0704
2024-01,0.6229,0.0699,0.0677,0.0563,0.0788,0.0730
2024-02,0.4098,0.0449,0.0456,0.0418,0.0482,0.0493
2024-03,0.5539,0.0624,0.0738,0.0570,0.0782,0.0642
2024-04,0.7352,0.0833,0.0793,0.0743,0.0889,0.0884
2024-05,0.6048,0.0683,0.0803,0.0646,0.0828,0.0714
2024-06,0.6224,0.0642,0.0728,0.0505,0.0829,0.0660
2024-07,0.5765,0.0586,0.0682,0.0557,0.0723,0.0610
2024-08,0.6313,0.0852,0.0720,0.0810,0.0763,0.0868
2024-09,0.5991,0.0612,0.0707,0.0596,0.0727,0.0639
2024-10,0.5614,0.0702,0.0552,0.0655,0.0578,0.0746
2024-11,0.5960,0.0792,0.0688,0.0635,0.0799,0.0830
2024-12,0.6788,0.0677,0.0815,0.0577,0.0913,0.0705
2025-01,0.7050,0.0814,0.0917,0.0660,,0.0858
2025-02,0.6214,0.0768,0.0619,0.0744,0.0638,0.0795
2025-03,0.7227,0.0791,0.0802,0.0739,0.0864,0.0847
2025-04,0.6271,0.0664,0.0717,0.0656,0.0716,0.0695
2025-05,0.6709,0.0910,0.0761,,0.0774,0.0948
2025-06,0.6935,0.0711,0.0813,0.0685,0.0828,0.0745
2025-07,0.6425,0.0620,0.0792,0.0590,0.0813,0.0649
2025-08,0.6623,0.0788,0.0842,0.0656,0.0982,0.0823
2025-09,0.6937,0.0779,0.0754,0.0752,0.0772,0.0805
2025-10,0.6162,0.0732,0.0785,0.0702,0.0843,0.0753
2025-11,0.6599,0.0687,0.0765,0.0674,0.0785,0.0708
2025-12,0.6809,0.0734,0.0767,0.0706,,0.0759
2026-01,0.6078,0.0814,0.0697,0.0810,0.0703,0.0828
2026-02,0.5669,0.0567,0.0681,0.0579,0.0682,0.0613
2026-03,0.6597,0.0785,0.0681,0.0874,0.0547,0.0825
2026-04,0.7018,0.0731,0.0813,0.0768,0.0754,0.0772
2026-05,0.5980,0.0706,0.0766,0.0674,0.0776,0.0730
2026-06,0.4569,0.0494,0.0514,0.0477,0.0541,0.0526
2026-07,0.5806,0.0787,0.0658,0.0889,0.0574,0.0821
2026-08,0.4736,0.0560,0.0491,0.0558,0.0477,0.0580
2026-09,0.5161,0.0577,0.0564,0.0558,0.0593,0.0605
