month,sell_date,expiry,spot,settle,eth_move,prev_move,prev_low,prev_high,iv,side,strike,premium_pct,size_eth,notional,size_x,premium,payoff,option_pnl,hedge_fills,hedge_pnl,pnl,cum_pnl,deficit_after,worst_intramonth_loss
2023-01,2022-12-30,2023-01-27,1187.8100,1582.8900,0.3326,0.0036,1150.0000,1353.1500,0.5629,PUT,1200.0000,0.0677,8.4189,10000.0000,1.0000,667.4125,0.0000,667.4125,0,0.0000,667.4125,667.4125,0.0000,118.0100
2023-02,2023-01-27,2023-02-24,1582.8900,1652.6300,0.0441,0.3326,1180.0000,1680.6000,0.5888,PUT,1600.0000,0.0709,6.3176,10000.0000,1.0000,698.7612,0.0000,698.7612,0,0.0000,698.7612,1366.1737,0.0000,304.0766
2023-03,2023-02-24,2023-03-31,1652.6300,1789.1800,0.0826,0.0441,1462.6500,1744.6500,0.5475,PUT,1700.0000,0.0838,6.0510,10000.0000,1.0000,826.6496,0.0000,826.6496,1,-1800.9419,-974.2922,391.8815,974.2922,1810.1521
2023-04,2023-03-31,2023-04-28,1789.1800,1919.5000,0.0728,0.0826,1369.4500,1862.3000,0.5913,PUT,1800.0000,0.0685,13.6514,24424.8133,2.4425,1649.7202,0.0000,1649.7202,0,0.0000,1649.7202,2041.6017,0.0000,238.2653
2023-05,2023-04-28,2023-05-26,1919.5000,1813.7400,-0.0551,0.0728,1763.3500,2147.9500,0.4894,PUT,1900.0000,0.0488,5.2097,10000.0000,1.0000,480.3945,450.8052,29.5893,1,-277.8624,-248.2731,1793.3285,248.2731,470.0884
2023-06,2023-05-26,2023-06-30,1813.7400,1883.9000,0.0387,-0.0551,1736.5500,2022.0000,0.4147,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,1793.3285,248.2731,0.0000
2023-07,2023-06-30,2023-07-28,1883.9000,1860.7100,-0.0123,0.0387,1623.0500,1939.0000,0.3844,PUT,1900.0000,0.0470,8.1561,15365.2569,1.5365,711.0154,322.7292,388.2863,0,0.0000,388.2863,2181.6148,0.0000,399.9281
2023-08,2023-07-28,2023-08-25,1860.7100,1650.6000,-0.1129,-0.0123,1824.2000,2032.3000,0.3192,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,2181.6148,0.0000,0.0000
2023-09,2023-08-25,2023-09-29,1650.6000,1679.5600,0.0175,-0.1129,1466.0000,1887.6500,0.3193,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,2181.6148,0.0000,0.0000
2023-10,2023-09-29,2023-10-27,1679.5600,1783.3100,0.0618,0.0175,1530.7000,1745.0000,0.3217,PUT,1700.0000,0.0422,5.9539,10000.0000,1.0000,414.4273,0.0000,414.4273,1,-1285.4841,-871.0568,1310.5580,871.0568,1024.7294
2023-11,2023-10-27,2023-11-24,1783.3100,2073.5900,0.1628,0.0618,1520.0000,1868.0000,0.4326,PUT,1800.0000,0.0528,15.0034,26755.6827,2.6756,1390.9144,0.0000,1390.9144,0,0.0000,1390.9144,2701.4724,0.0000,387.0070
2023-12,2023-11-24,2023-12-29,2073.5900,2344.9000,0.1308,0.1628,1744.5500,2139.1000,0.4967,PUT,2100.0000,0.0683,4.8226,10000.0000,1.0000,672.9079,0.0000,672.9079,0,0.0000,672.9079,3374.3803,0.0000,224.4254
2024-01,2023-12-29,2024-01-26,2344.9000,2201.4400,-0.0612,0.1308,1986.1000,2451.6500,0.6229,PUT,2350.0000,0.0699,4.2646,10000.0000,1.0000,689.0519,634.9534,54.0985,0,0.0000,54.0985,3428.4787,0.0000,833.5074
2024-02,2024-01-26,2024-02-23,2201.4400,2933.2600,0.3324,-0.0612,2034.8000,2719.1500,0.4098,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3428.4787,0.0000,0.0000
2024-03,2024-02-23,2024-03-29,2933.2600,3535.7200,0.2054,0.3324,2195.1000,3037.9000,0.5539,PUT,2900.0000,0.0624,3.4092,10000.0000,1.0000,615.0588,0.0000,615.0588,0,0.0000,615.0588,4043.5376,0.0000,88.8996
2024-04,2024-03-29,2024-04-26,3535.7200,3137.4600,-0.1126,0.2054,2906.1500,4097.0000,0.7352,PUT,3550.0000,0.0833,2.8283,10000.0000,1.0000,821.6187,1168.1090,-346.4903,1,-684.6363,-1031.1266,3012.4110,1031.1266,1208.9436
2024-05,2024-04-26,2024-05-31,3137.4600,3731.9700,0.1895,-0.1126,2801.0000,3730.0000,0.6048,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3012.4110,1031.1266,0.0000
2024-06,2024-05-31,2024-06-28,3731.9700,3433.0100,-0.0801,0.1895,2813.4500,3980.5500,0.6224,PUT,3700.0000,0.0642,7.0477,26301.7349,2.6302,1663.6523,1885.2896,-221.6373,0,0.0000,-221.6373,2790.7737,1252.7639,1694.8061
2024-07,2024-06-28,2024-07-26,3433.0100,3256.9800,-0.0513,-0.0801,3225.0000,3889.8000,0.5765,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,2790.7737,1252.7639,0.0000
2024-08,2024-07-26,2024-08-30,3256.9800,2523.9200,-0.2251,-0.0513,2803.4500,3565.4500,0.6313,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,2790.7737,1252.7639,0.0000
2024-09,2024-08-30,2024-09-27,2523.9200,2660.1900,0.0540,-0.2251,2017.7500,3397.1000,0.5991,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,2790.7737,1252.7639,0.0000
2024-10,2024-09-27,2024-10-25,2660.1900,2474.2900,-0.0699,0.0540,2149.3500,2704.0500,0.5614,PUT,2700.0000,0.0702,10.5652,28105.5328,2.8106,1944.6872,2388.6004,-443.9132,0,0.0000,-443.9132,2346.8604,1696.6772,2525.0699
2024-11,2024-10-25,2024-11-29,2474.2900,3548.8700,0.4343,-0.0699,2309.5500,2769.4500,0.5960,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,2346.8604,1696.6772,0.0000
2024-12,2024-11-29,2024-12-27,3548.8700,3334.3200,-0.0605,0.4343,2355.6000,3691.1500,0.6788,PUT,3500.0000,0.0677,9.9837,35430.8055,3.5431,2363.8512,1659.0905,704.7607,0,0.0000,704.7607,3051.6211,991.9165,1870.4824
2025-01,2024-12-27,2025-01-31,3334.3200,3251.2400,-0.0249,-0.0605,3097.3000,4111.0000,0.7050,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3051.6211,991.9165,0.0000
2025-02,2025-01-31,2025-02-28,3251.2400,2102.3600,-0.3534,-0.0249,2911.7000,3746.6000,0.6214,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3051.6211,991.9165,0.0000
2025-03,2025-02-28,2025-03-28,2102.3600,1910.3100,-0.0913,-0.3534,2065.7000,3439.2000,0.7227,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3051.6211,991.9165,0.0000
2025-04,2025-03-28,2025-04-25,1910.3100,1773.7000,-0.0715,-0.0913,1752.1500,2549.9000,0.6271,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3051.6211,991.9165,0.0000
2025-05,2025-04-25,2025-05-30,1773.7000,2626.7200,0.4809,-0.0715,1383.2000,1957.0000,0.6709,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3051.6211,991.9165,0.0000
2025-06,2025-05-30,2025-06-27,2626.7200,2441.9800,-0.0703,0.4809,1729.1000,2789.9500,0.6935,PUT,2600.0000,0.0711,9.1912,24142.6011,2.4143,1693.2843,1455.7536,237.5307,0,0.0000,237.5307,3289.1518,754.3858,2789.6994
2025-07,2025-06-27,2025-07-25,2441.9800,3619.6600,0.4823,-0.0703,2112.6500,2881.0000,0.6425,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,3289.1518,754.3858,0.0000
2025-08,2025-07-25,2025-08-29,3619.6600,4389.2600,0.2126,0.4823,2373.4000,3862.2000,0.6623,PUT,3600.0000,0.0788,5.4455,19710.8316,1.9711,1531.2357,0.0000,1531.2357,0,0.0000,1531.2357,4820.3874,0.0000,652.5928
2025-09,2025-08-29,2025-09-26,4389.2600,3920.8700,-0.1067,0.2126,3351.6000,4957.0500,0.6937,PUT,4400.0000,0.0779,2.2783,10000.0000,1.0000,767.8279,1092.9362,-325.1083,0,0.0000,-325.1083,4495.2792,325.1083,552.2123
2025-10,2025-09-26,2025-10-31,3920.8700,3829.7900,-0.0232,-0.1067,3820.6000,4767.8500,0.6162,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4495.2792,325.1083,0.0000
2025-11,2025-10-31,2025-11-28,3829.7900,3009.8600,-0.2141,-0.0232,3379.5000,4759.9000,0.6599,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4495.2792,325.1083,0.0000
2025-12,2025-11-28,2025-12-26,3009.8600,2965.1600,-0.0149,-0.2141,2618.5000,3918.1500,0.6809,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4495.2792,325.1083,0.0000
2026-01,2025-12-26,2026-01-30,2965.1600,2731.3100,-0.0789,-0.0149,2718.6500,3448.8000,0.6078,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4495.2792,325.1083,0.0000
2026-02,2026-01-30,2026-02-27,2731.3100,2028.8000,-0.2572,-0.0789,2678.3000,3405.9000,0.5669,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4495.2792,325.1083,0.0000
2026-03,2026-02-27,2026-03-27,2028.8000,2066.8900,0.0188,-0.2572,1734.0000,2764.8000,0.6597,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4495.2792,325.1083,0.0000
2026-04,2026-03-27,2026-04-24,2066.8900,2313.8600,0.1195,0.0188,1834.7000,2386.6000,0.7018,PUT,2050.0000,0.0731,7.0210,14511.7036,1.4512,1045.6971,0.0000,1045.6971,0,0.0000,1045.6971,5540.9762,0.0000,502.8011
2026-05,2026-04-24,2026-05-29,2313.8600,2004.0300,-0.1339,0.1195,1935.7000,2465.7500,0.5980,PUT,2300.0000,0.0706,4.3218,10000.0000,1.0000,695.9262,1280.4172,-584.4910,0,0.0000,-584.4910,4956.4852,584.4910,754.0319
2026-06,2026-05-29,2026-06-26,2004.0300,1579.7000,-0.2117,-0.1339,1964.5000,2424.3500,0.4569,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4956.4852,584.4910,0.0000
2026-07,2026-06-26,2026-07-31,1579.7000,1886.9700,0.1945,-0.2117,1503.8500,2043.9000,0.5806,-,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,4956.4852,584.4910,0.0000
2026-08,2026-07-31,2026-08-28,1886.9700,2496.7500,0.3232,0.1945,1518.4000,1980.0000,0.4736,PUT,1900.0000,0.0560,10.9172,20600.4688,2.0600,1135.8732,0.0000,1135.8732,0,0.0000,1135.8732,6092.3584,0.0000,463.8382
2026-09,2026-08-28,2026-09-25,2496.7500,2671.4100,0.0700,0.3232,1820.2500,2567.1000,0.5161,PUT,2500.0000,0.0577,4.0052,10000.0000,1.0000,567.8610,0.0000,567.8610,0,0.0000,567.8610,6660.2195,0.0000,273.3646
