month,sell_date,expiry,spot,settle,eth_move,prev_move,prev_low,prev_high,iv,side,strike,premium_pct,size_eth,notional,size_x,premium,payoff,option_pnl,hedge_fills,hedge_pnl,pnl,cum_pnl,deficit_after,worst_intramonth_loss
2023-01,2022-12-30,2023-01-27,1187.8100,1582.8900,0.3326,0.0036,1150.0000,1353.1500,0.5629,CALL,1200,0.0575,8.4189,10000.0000,1.0000,565.8129,3225.4943,-2659.6813,0,0.0000,-2659.6813,-2659.6813,2659.6813,3480.3021
2023-02,2023-01-27,2023-02-24,1582.8900,1652.6300,0.0441,0.3326,1180.0000,1680.6000,0.5888,CALL,1600,0.0601,6.3176,10000.0000,1.0000,591.7487,334.0592,257.6895,0,0.0000,257.6895,-2401.9918,2401.9918,539.7383
2023-03,2023-02-24,2023-03-31,1652.6300,1789.1800,0.0826,0.0441,1462.6500,1744.6500,0.5475,CALL,1700,0.0551,6.0510,10000.0000,1.0000,542.8819,541.2487,1.6333,0,0.0000,1.6333,-2400.3586,2400.3586,591.7805
2023-04,2023-03-31,2023-04-28,1789.1800,1919.5000,0.0728,0.0826,1369.4500,1862.3000,0.5913,CALL,1800,0.0625,5.5892,10000.0000,1.0000,615.5581,669.5130,-53.9549,0,0.0000,-53.9549,-2454.3135,2454.3135,1363.2837
2023-05,2023-04-28,2023-05-26,1919.5000,1813.7400,-0.0551,0.0728,1763.3500,2147.9500,0.4894,CALL,1900,0.0590,5.2097,10000.0000,1.0000,580.9676,0.0000,580.9676,0,0.0000,580.9676,-1873.3459,1873.3459,317.1026
2023-06,2023-05-26,2023-06-30,1813.7400,1883.9000,0.0387,-0.0551,1736.5500,2022.0000,0.4147,CALL,1800,0.0549,5.5135,10000.0000,1.0000,540.2394,464.1381,76.1013,0,0.0000,76.1013,-1797.2446,1797.2446,485.5833
2023-07,2023-06-30,2023-07-28,1883.9000,1860.7100,-0.0123,0.0387,1623.0500,1939.0000,0.3844,CALL,1900,0.0385,5.3081,10000.0000,1.0000,378.1359,0.0000,378.1359,0,0.0000,378.1359,-1419.1087,1419.1087,458.7375
2023-08,2023-07-28,2023-08-25,1860.7100,1650.6000,-0.1129,-0.0123,1824.2000,2032.3000,0.3192,CALL,1850,0.0381,5.3743,10000.0000,1.0000,374.2875,0.0000,374.2875,0,0.0000,374.2875,-1044.8212,1044.8212,105.8206
2023-09,2023-08-25,2023-09-29,1650.6000,1679.5600,0.0175,-0.1129,1466.0000,1887.6500,0.3193,CALL,1650,0.0396,6.0584,10000.0000,1.0000,389.0206,180.6127,208.4079,0,0.0000,208.4079,-836.4133,836.4133,429.6230
2023-10,2023-09-29,2023-10-27,1679.5600,1783.3100,0.0618,0.0175,1530.7000,1745.0000,0.3217,CALL,1700,0.0300,5.9539,10000.0000,1.0000,293.9457,497.6154,-203.6697,0,0.0000,-203.6697,-1040.0830,1040.0830,706.3835
2023-11,2023-10-27,2023-11-24,1783.3100,2073.5900,0.1628,0.0618,1520.0000,1868.0000,0.4326,CALL,1800,0.0435,5.6076,10000.0000,1.0000,427.2035,1535.9138,-1108.7103,0,0.0000,-1108.7103,-2148.7934,2148.7934,1527.9617
2023-12,2023-11-24,2023-12-29,2073.5900,2344.9000,0.1308,0.1628,1744.5500,2139.1000,0.4967,CALL,2100,0.0555,4.8226,10000.0000,1.0000,546.8179,1182.7398,-635.9219,0,0.0000,-635.9219,-2784.7153,2784.7153,1149.0386
2024-01,2023-12-29,2024-01-26,2344.9000,2201.4400,-0.0612,0.1308,1986.1000,2451.6500,0.6229,CALL,2350,0.0677,4.2646,10000.0000,1.0000,667.5200,0.0000,667.5200,0,0.0000,667.5200,-2117.1952,2117.1952,979.8295
2024-02,2024-01-26,2024-02-23,2201.4400,2933.2600,0.3324,-0.0612,2034.8000,2719.1500,0.4098,CALL,2200,0.0456,4.5425,10000.0000,1.0000,448.0841,3332.8185,-2884.7343,0,0.0000,-2884.7343,-5001.9296,5001.9296,3358.0609
