time,open,high,low,close
2022-11-01 00:00:00+00:00,1573.45,1576.85,1569.35,1570.25
2022-11-01 01:00:00+00:00,1570.4,1584.8,1570.05,1581.1
2022-11-01 02:00:00+00:00,1581.5,1600.5,1578.9,1598.65
2022-11-01 03:00:00+00:00,1598.85,1604.65,1583.9,1587.3
2022-11-01 04:00:00+00:00,1586.9,1593.65,1580.2,1589.65
2022-11-01 05:00:00+00:00,1589.9,1596.7,1585.55,1589.45
2022-11-01 06:00:00+00:00,1589.15,1602.8,1587.45,1595.55
2022-11-01 07:00:00+00:00,1595.55,1598.85,1585.5,1591.55
2022-11-01 08:00:00+00:00,1591.6,1595.75,1586.65,1587.85
2022-11-01 09:00:00+00:00,1587.9,1612.75,1585.8,1597.85
2022-11-01 10:00:00+00:00,1598.3,1610.35,1592.65,1607.1
2022-11-01 11:00:00+00:00,1606.9,1607.8,1583.05,1590.5
2022-11-01 12:00:00+00:00,1590.3,1598.0,1585.65,1597.1
2022-11-01 13:00:00+00:00,1597.3,1597.8,1570.7,1579.0
2022-11-01 14:00:00+00:00,1578.6,1580.0,1563.75,1569.55
2022-11-01 15:00:00+00:00,1569.5,1575.8,1567.6,1574.85
2022-11-01 16:00:00+00:00,1574.55,1585.2,1567.0,1573.05
2022-11-01 17:00:00+00:00,1573.0,1578.5,1569.45,1578.5
2022-11-01 18:00:00+00:00,1578.55,1586.8,1577.6,1584.6
2022-11-01 19:00:00+00:00,1584.6,1587.1,1576.45,1577.3
2022-11-01 20:00:00+00:00,1577.0,1579.5,1573.6,1575.7
2022-11-01 21:00:00+00:00,1575.9,1581.9,1569.9,1573.0
2022-11-01 22:00:00+00:00,1573.1,1580.45,1570.0,1579.45
2022-11-01 23:00:00+00:00,1579.1,1583.45,1577.3,1579.25
2022-11-02 00:00:00+00:00,1579.25,1592.75,1573.2,1587.75
2022-11-02 01:00:00+00:00,1587.75,1591.65,1585.8,1587.0
2022-11-02 02:00:00+00:00,1587.0,1593.25,1579.0,1590.45
2022-11-02 03:00:00+00:00,1590.4,1596.4,1589.2,1591.45
2022-11-02 04:00:00+00:00,1591.15,1595.35,1587.8,1590.6
2022-11-02 05:00:00+00:00,1590.8,1600.9,1585.75,1586.05
2022-11-02 06:00:00+00:00,1586.45,1588.7,1584.05,1587.7
2022-11-02 07:00:00+00:00,1587.85,1589.45,1554.7,1564.9
2022-11-02 08:00:00+00:00,1564.65,1573.9,1561.1,1573.4
2022-11-02 09:00:00+00:00,1573.4,1578.75,1558.25,1559.25
2022-11-02 10:00:00+00:00,1558.95,1559.7,1536.85,1549.4
2022-11-02 11:00:00+00:00,1549.05,1559.0,1549.05,1556.85
2022-11-02 12:00:00+00:00,1556.85,1560.0,1548.05,1554.3
2022-11-02 13:00:00+00:00,1554.0,1558.15,1548.95,1553.65
2022-11-02 14:00:00+00:00,1553.35,1567.45,1552.3,1560.8
2022-11-02 15:00:00+00:00,1560.85,1561.8,1556.25,1559.35
2022-11-02 16:00:00+00:00,1559.35,1576.7,1550.7,1571.5
2022-11-02 17:00:00+00:00,1571.25,1572.45,1549.95,1561.45
2022-11-02 18:00:00+00:00,1560.45,1622.2,1531.95,1564.8
2022-11-02 19:00:00+00:00,1564.35,1589.0,1523.55,1536.5
2022-11-02 20:00:00+00:00,1536.0,1537.6,1502.35,1511.05
2022-11-02 21:00:00+00:00,1511.0,1513.75,1501.8,1513.75
2022-11-02 22:00:00+00:00,1513.7,1516.0,1506.4,1511.85
2022-11-02 23:00:00+00:00,1511.85,1523.65,1508.55,1519.05
2022-11-03 00:00:00+00:00,1518.3,1536.7,1515.2,1530.6
2022-11-03 01:00:00+00:00,1530.7,1547.3,1529.0,1542.55
2022-11-03 02:00:00+00:00,1542.55,1549.6,1542.05,1542.75
2022-11-03 03:00:00+00:00,1542.95,1555.0,1542.95,1546.7
2022-11-03 04:00:00+00:00,1547.15,1558.2,1547.15,1553.3
2022-11-03 05:00:00+00:00,1553.25,1553.95,1548.7,1551.85
2022-11-03 06:00:00+00:00,1551.55,1552.35,1546.25,1546.75
2022-11-03 07:00:00+00:00,1546.8,1554.95,1541.45,1543.35
2022-11-03 08:00:00+00:00,1543.6,1548.45,1538.8,1543.55
2022-11-03 09:00:00+00:00,1543.6,1556.45,1543.6,1552.5
2022-11-03 10:00:00+00:00,1552.45,1554.5,1542.2,1544.25
2022-11-03 11:00:00+00:00,1544.25,1544.7,1522.5,1531.2
2022-11-03 12:00:00+00:00,1531.6,1538.45,1521.6,1529.75
2022-11-03 13:00:00+00:00,1529.65,1540.4,1524.45,1525.7
2022-11-03 14:00:00+00:00,1525.75,1558.0,1525.75,1551.95
2022-11-03 15:00:00+00:00,1551.95,1554.9,1538.0,1542.95
2022-11-03 16:00:00+00:00,1542.95,1549.45,1539.15,1547.25
2022-11-03 17:00:00+00:00,1547.25,1548.0,1541.25,1541.4
2022-11-03 18:00:00+00:00,1541.4,1547.55,1538.7,1545.95
2022-11-03 19:00:00+00:00,1545.95,1548.05,1540.9,1544.1
