sell_date,expiry,spot,strike,n_trades,first_trade_min,iv_median,put_mark_eth,call_mark_eth,index_at_trades
2022-11-25,2022-12-30,1183.57,1200,100,1.2132166666666666,77.755,0.109043,0.088438,1180.1399999999999
2022-12-30,2023-01-27,1187.81,1200,85,3.4573,56.29,0.070237,,1188.79
2023-01-27,2023-02-24,1582.89,1600,100,2.5298333333333334,58.88,0.069911,0.062161,1584.8249999999998
2023-02-24,2023-03-31,1652.63,1700,99,2.5603,54.75,0.08256,0.056445,1652.27
2023-03-31,2023-04-28,1789.18,1800,91,0.6877,59.129999999999995,0.064912,0.064915,1798.1
2023-04-28,2023-05-26,1919.5,1900,86,2.9831,48.935,0.0491945,0.058312,1916.38
2023-05-26,2023-06-30,1813.74,1800,68,10.1552,41.465,0.047060500000000005,0.055508,1814.875
2023-06-30,2023-07-28,1883.9,1900,99,6.2193,38.44,0.045274,0.040163,1886.68
2023-07-28,2023-08-25,1860.71,1850,60,9.22885,31.92,0.030292,0.040997,1862.36
2023-08-25,2023-09-29,1650.6,1650,100,4.342466666666667,31.925,0.0365935,0.042768,1653.8899999999999
2023-09-29,2023-10-27,1679.56,1700,71,1.3329833333333334,32.17,0.040298,0.0302785,1680.4850000000001
2023-10-27,2023-11-24,1783.31,1800,100,4.515333333333333,43.255,0.052844,0.044889,1783.77
2023-11-24,2023-12-29,2073.59,2100,100,5.202283333333333,49.675,0.0630415,,2078.045
2023-12-29,2024-01-26,2344.9,2350,61,70.30188333333334,62.285,0.056287,0.078843,2366.855
2024-01-26,2024-02-23,2201.44,2200,61,5.558866666666667,40.975,0.041773,0.0481505,2200.725
2024-02-23,2024-03-29,2933.26,2900,100,0.3844,55.385000000000005,0.056998,0.078189,2928.8500000000004
2024-03-29,2024-04-26,3535.72,3550,27,22.2333,73.52,0.074293,0.088949,3527.92
2024-04-26,2024-05-31,3137.46,3100,77,1.9803333333333333,60.485,0.064571,0.082797,3143.825
2024-05-31,2024-06-28,3731.97,3700,54,103.82501666666667,62.239999999999995,0.050479,0.0829065,3795.92
2024-06-28,2024-07-26,3433.01,3400,68,15.479216666666666,57.644999999999996,0.0556855,0.072286,3430.44
2024-07-26,2024-08-30,3256.98,3300,52,4.309833333333334,63.13,0.080969,0.076319,3255.36
2024-08-30,2024-09-27,2523.92,2500,94,61.98865,59.91,0.059609499999999996,0.07275,2523.6000000000004
2024-09-27,2024-10-25,2660.19,2700,58,3.4132166666666666,56.135000000000005,0.06553,0.0577885,2666.315
2024-10-25,2024-11-29,2474.29,2500,45,0.6519166666666667,59.6,0.06349250000000001,0.07988200000000001,2528.3450000000003
2024-11-29,2024-12-27,3548.87,3500,39,3.498666666666667,67.88,0.057692,0.091258,3570.56
2024-12-27,2025-01-31,3334.32,3300,18,54.2449,70.505,0.066037,,3413.235
2025-01-31,2025-02-28,3251.24,3300,96,0.8776333333333334,62.14,0.07437,0.063815,3243.705
2025-02-28,2025-03-28,2102.36,2100,64,13.2344,72.265,0.073881,0.086376,2113.885
2025-03-28,2025-04-25,1910.31,1900,100,1.3722166666666666,62.71,0.065581,0.071608,1912.54
2025-04-25,2025-05-30,1773.7,1800,100,0.3176,67.095,,0.0773945,1778.4
2025-05-30,2025-06-27,2626.72,2600,100,1.3067,69.355,0.068543,0.0828345,2620.9449999999997
2025-06-27,2025-07-25,2441.98,2400,58,21.207766666666668,64.255,0.059033,0.081347,2450.58
2025-07-25,2025-08-29,3619.66,3600,21,81.58665,66.235,0.065607,0.0982095,3697.6000000000004
2025-08-29,2025-09-26,4389.26,4400,74,2.171116666666667,69.375,0.075172,0.077194,4390.535
2025-09-26,2025-10-31,3920.87,3900,48,3.3642166666666666,61.620000000000005,0.07015199999999999,0.0842685,3939.675
2025-10-31,2025-11-28,3829.79,3800,83,1.0536833333333333,65.99000000000001,0.067444,0.078483,3832.915
2025-11-28,2025-12-26,3009.86,3000,29,1.5982333333333334,68.09,0.070562,,3017.63
2025-12-26,2026-01-30,2965.16,3000,37,0.9587333333333333,60.78,0.080984,0.07034699999999999,2960.485
2026-01-30,2026-02-27,2731.31,2700,44,26.558433333333333,56.69,0.057914999999999994,0.068249,2726.8
2026-02-27,2026-03-27,2028.8,2050,38,141.0958,65.975,0.087417,0.054702,1988.375
2026-03-27,2026-04-24,2066.89,2050,35,5.231116666666667,70.18,0.076845,0.075413,2048.39
2026-04-24,2026-05-29,2313.86,2300,33,57.105916666666666,59.805,0.067367,0.077591,2328.5
2026-05-29,2026-06-26,2004.03,2000,38,7.99695,45.685,0.047670000000000004,0.05412,2007.1
2026-06-26,2026-07-31,1579.7,1600,14,1.7496833333333333,58.06,0.0889135,0.057355500000000004,1552.4850000000001
2026-07-31,2026-08-28,1886.97,1900,16,115.1791,47.36,0.055841,0.047707,1883.645
2026-08-28,2026-09-25,2496.75,2500,32,3.3180833333333335,51.605,0.055796,0.059284500000000004,2498.95
